|Samples,Time|
256,0.01665358306712166,0.006516222971555153
512,0.022065793278195973,0.014661501685999093
1024,0.0311860166585418,0.03258111485777576
2048,0.04864703474882982,0.07167845268710668
4096,0.11612027506289205,0.15638935131732368
8192,0.22578442232183138,0.33884359452086793
16384,0.4443369199157993,0.7298169728141771
32768,0.7952776120987443,1.5638935131732365
65536,2.440238773363654,3.336306161436238
131072,6.339608036775624,7.089650593052006
262144,15.66370474459743,15.013377726463071
